Introduction to Unity,500,1,Welcome to the  Unity Game Engine.  In this project you will be following the Intro to Unity PPT/video and creating the PONG game described within it.,Create a new Unity Project|The game must at least offer the functionality of the original PONG game|The game must display your own personal additions or customizations
Game Objects and Prefabs!,500,1,Game Objects are the foundational element of any Unity Game.  In this exercise you will be experimenting with different elements of GameObjects and prefabs through modifying an existing Top Down Shooter game,Create a new Unity Project with the Top Down Shooter code added|Modify the game significantly to fit your own gameplay ideas|Add at least 2 new ship designs to the project and use them in the game.
Import Assets,500,1,"When working in a game, you often have to add files and objects from external programs. In this exercise you will be adding files from various sources and in different formats.",Create a new Unity Project|Import a PSD from photoshop|Import a Jpeg from a website|import an FBX model from 3dsMax|import an FBX model from Maya|import a UnityPackage from the AssetStore|Add a text file README to the project|Import a C# file written in Visual Studio|Import a C# DLL downloaded from online|Attempt to use them in some gameplay fashion
MonoBehaviors,500,1,MonoBehaviors are the base script element that can be attached to GameObjects.  While not all code needs to be a monoBehavior it must extend it if you want it to be used directly by a game object.  In this exercise you will write a few short code samples and use them in a game.,Create a new Unity Project|Create at least 3 new C# scripts that extend monobehavor|Scripts should have at least 1 value that can be set via the editor|Create one script that does not extend monoBehavior and use that class in the game
Particle Systems,500,1,Particle Systems are one of the more complex and odd systems within Unity.  This exercise is intended for you to explore the different settings that the particle system editor allows you to modify and create.,"Create a new Unity Project|In one or more scenes, demonstrate at least 5 VERY different particle effects that you created."
Lighting,500,1,Lighting is an important facet to a game's visuals. In this exercise you will be experimenting with the different lighting options available to you in Unity.,Create a new Unity Project|Create a new scene for each type of light GameObject available to you in Unity|Each should explore the core functionality and differences between those lighting types.
Sound,500,1,Sound can make or break a gaming experience.  In this exercise you will be experimenting with the ways sound is played in the Unity engine.,"Create a new Unity Project|Showcase how audioSouces can be added, played, and changed before and during gameplay|import at least 5 sound files from external sources (asset store, your own libraries, websites, etc)"
Inputs,500,1,Unity handles inputs thorough both the Input Manager and by allowing you to get key inputs directly.  Experiment with both of these options to create a simple game.,"Create a new Unity Project|Create a new scene for at least 3 different input methods (keyboard, mouse, joystick, touch, etc)|Showcase in those scenes the different gameplay opportunities available for those control options."
Publishing,500,1,Often the final step in game development is publishing your game to the desired platform!  In this exercise you will take one of your existing projects and export it to as many platforms as you can.,"Take an existing game project and generate builds of that game for at least 4 different platforms (PC, Mac, Linux, Web, Android, iOS, etc)|Ensure that the project will execute and can be played on each of the platforms chosen"
Materials,500,1,"Materials are the core ""Visual"" apart from meshes.  In this exercise you will be experimenting with different material options and how to change them both in the editor and dynamically.",Within an existing or new Unity Project|Display and use at least 5 different types of materials|Gameplay should focus on the changing of materials
Debugging,500,1,Getting used to printing and reading values from the console is very importing when developing your game.  In this exercise you will be developing a simple TEXT BASED game that is viewed entirely within the console log!,"Your project must accept some form of user input to play (not the console log)|You must display at least one of each base value type (int, string, float, etc..) as well as a list, array, dictionary, and custom object's ToString() overload."
Touch Specifics,500,1,Touch controls are growing more and more important every passing day.  In this exercise you will experiment with some of the touch functionality built into unity and how it effects gameplay decisions.,Create a new Unity project|Gameplay should utilize only touch inputs
Localization,500,1,"Localization is often at the heart of a truly successful game, especially in today's globalized world.  In this exercise you will be creating a short game demo in at least 3 different languages",Create a new Unity Project|All Menus should be localized in at least 3 different languages|Use asset Store options if possible!  Don't remake the wheel
Cinematics,500,1,Cinematics can be incredibly useful when used correctly.  In this exercise you will be experimenting with different ways of displaying cinematic experiences within your game.,"Create a new Unity Project|Create at least 3 unique cinematic scenes using a static camera, moving camera, a player controlled camera."
AI Controllers,500,1,AI is often the most rewarding but commonly the most frustrating component of game development.  In this exercise you will be trying out how to create some basic AI systems.,"Create a new Unity Project|Create a human controlled gameplay mechanic and objective|Taking the human controlled system as a base, create an automated controller for that player|Have your automated controller attempt to achieve the goal."
Triggers,500,1,"Triggers are simple systems of ""I touch this, code does that"".  Each engine handles it differently, but in this exercise you should experiment with the different ways you can use triggers for gameplay and ambiance",Create a new Unity Project|Create at least 5 different trigger based systems that either help achieve goals or provide ambiance to the world.
Physics Playground,950,2,Unity Physics can be a truly fun and powerful feature.  In this mini Project you will be creating a very short game that showcases how you can use physics to achieve goals and overcome obstacles.,Create a new Unity Project|Create at least 3 different goals that can be achieved through the usage of the Unity Physics system
First Person,950,2,First Person gameplay is fundamentally different from many other types if gameplay views.  In this project you will explore the fundamentals of how to develop the First Person gameplay experience.,Create a new Unity Project|The camera should be that of First Person in respect to the character|Must have at least 3 objectives to complete.
Real Time Strategy,950,2,"Real Time Strategy games (for our purpose) can be described as the manipulation of larger game systems that are changing in real time.  This can be done through a top down (SC2) style, or even first person (Sanctuary).  In this project, create a mini game that showcases the players ability to manipulate these larger game systems in real time.","Create a new Unity Project|The game must contain at least one core objective|The objective must be accomplished through the manipulation of game mechanics that are changing in real time|This does not need to be an Army Builder style of game (SC2) but it should have game systems such as movement, energy drain, money, etc that are constantly changing over time separate as well as in relation to what the player is currently doing."
Turn Based ,950,2,"Turn based games can take many forms. From Mafia Wars, Hearthstone, and even board and card games.  In this project, you will be attempting to create a simple turn based game that embodies this spirit",Create a new Unity Project|The game should not change any values until after the player or opponent(if one exists) takes their respective turn|The game must have at least one objective that the player can achieve by playing enough turns correctly
Casual Games,950,2,"Casual games are intended to be played for at most 10 to 15 mins before putting down and coming back to later.  During this project, you will explore gameplay design where the player should be able to quickly and easily pick up the game, understand what to do, and perform those actions.",Create a new Unity Project|An individual game should last no more than 15 mins (multiple games can be chained together for longer play sessions)|The player should very quickly be able to know how to operate the game.
Full Circle Gameplay,950,2,Full circle gameplay is a description that implies the game is a self contained unit of activity.,"Take an existing game project|Add a main menu|Ensure that upon launch the main menu is loaded, then once the player selects to play the game the game is loaded|Upon completing the game or exiting it, the player is returned to the main menu"
UI Elements,950,2,The User interface is often a necessity when attempting to communicate game information to the user and also to allow the user to interact with the game.  In this exercise you will be experimenting with different ways of creating UI elements.,"Take an existing game project|Add at least one UI element using the OnGUI functions|Add at least one UI element that uses only GameObjects|Create a Main Menu, Options menu, and Pause menu"
Interactive Elements,950,2,"When designing a game environment, interactables often give the world that much more life.  In this exercise you will be creating an environment that utilizes all three types of basic interactives, Ambient, Reactive, Active",Take an Existing project or create a new one|Add at least 2 type of each interactive to the game|The interactive should blend with the existing gameplay and environments
Pulls,950,2,"Pulls are how designers can get the player to go where we want and do what we want.  Much like a puppeteer, in this exercise you will be guiding a players via the environment, gameplay rules, and anything else at your disposal","Take an Existing project or create a new one|The game must have at least 3 objectives that the player must achieve|Each objective must contain an environmental(shape, color, lighting), and gameplay based pull to lead the player towards it."
Saving/Loading,950,2,Saving and Loading the game allows for extended gameplay sessions as well as more complex gameplay mechanics.  In this exercise you will be implementing a basic system for saving and loading both the progress as well as more complex game states,"Take an Existing project or create a new one|Create the ability to save simple gameplay values out to file|Load those values back in when the save is loaded and restore them to the game|Create a system for saving as much data as needed to replicate the state of every necessary object in a particular level, and then load that data again"
Checkpoints,950,2,"Checkpoints are similar to autosave locations, but are only persistent while the game is running.  In this exercise you will be developing a simple checkpoint system for the player","Take an Existing project or create a new one|Separate the gameplay into a series of discrete checkpoints where the state will be restored to if failed|If the player fails an objective, they should be restored to the nearest checkpoint along with a default level state appropriate for that checkpoint."
Player Driven Conversations,950,2,Dialog and conversations can be very important depending on the type of game you are attempting to create.  In this exercise you will be creating a simple conversation sequence between the player and an NPC,Take an Existing project or create a new one|Add a sequence of dialog between the player and a known NPC|The player should be able to select which response to say|There should be at least 4 levels of questions with a hub question that is returned to (Mass Effect style)|The visual appearance of the conversation should match your existing game
Trans-Gaming,950,2,Sometimes it's important to allow people of different personalities and interests to all participate in a game together.  In this exercise you will be experimenting with the ability for different gameplay types all helping a single player achieve a goal.,Take an Existing project or create a new one|Add 3 completely different gameplay experiences|Tie the accomplishment of one gameplay's goal to the advancement of one or more other gameplay type's goals.
